course,subject,yearRange,semesterGroup,semester,fileUrl,fileName,note
B. Sc. Life Science (Zoology),Cell Growth and Regulation,2025,Semester 4,4,https://drive.google.com/file/d/1SJg6ZyNkWItwfl8V6P1lKVZktIN22gMW/view,2025_sem-4_zoo-dse-6_upc-2233012006_qp-8061.pdf,Hons (Life Science stream) | exact
History Honours,History of India – IV: c.1200 – 1500,2024,Semester 4,4,https://drive.google.com/file/d/1s-j4sfkDYkWC3uxlCmJmZuRP8xn8zkCy/view,2024_sem-4_dsc-1_upc-2312102401_qp-5115.pdf,Hons | exact
History Honours,History of India – IV: c.1200 – 1500,2025,Semester 4,4,https://drive.google.com/file/d/1JGV3w8pKTtxnHeYleVP_AEe7KisX9sKZ/view,2025_sem-4_dsc-1_upc-2312102401_qp-6014.pdf,Hons | exact
History Honours,History of the USA: Independence to Civil War,2026,Semester 1,1,https://drive.google.com/file/d/1VL35iBYF5qkTimUETCRZVm1kp5sHYi0t/view,2026_sem-1_dsc-3_upc-2312101103_qp-5394.pdf,Hons | exact
History Honours,minor- -minor -10699,2026,Semester 7,7,https://drive.google.com/file/d/1FEGYiFh6WQi5t_hjZJ1KHMmKVjb-uQ2y/view,2026_sem-7_dse-2-minor-dse-4-minor_upc-2313100014_qp-10699.pdf,Hons | exact
History Honours,minor- -minor - set-01,2025,Semester 6,6,https://drive.google.com/file/d/1A4hNyeaHynpciAnuwA6DcGqTLyIFL9Xj/view,2025_sem-6_dse-2-minor-dse-4-minor_upc-2313100014_qp-6269_set-01.pdf,Hons | exact
History Honours,minor- -minor - set-02,2025,Semester 6,6,https://drive.google.com/file/d/1Smz98Uj4zE5I7ZTKrzklhNgBCmTdrIqV/view,2025_sem-6_dse-2-minor-dse-4-minor_upc-2313100014_qp-7584_set-02.pdf,Hons | exact
History Honours,History of Modern Europe – II,2025,Semester 6,6,https://drive.google.com/file/d/1u8h3MBi23mEcvUmacpr4v2nye-3849pz/view,2025_sem-6_dsc-3_upc-2312103603_qp-6158.pdf,Hons | exact
History Honours,History of Modern Europe – II,2024,Semester 6,6,https://drive.google.com/file/d/1TQL0mZcP7oppq_sWUgpokSeZKxYTrZk5/view,2024_sem-6_dsc-3_upc-12311604_qp-1412.pdf,Hons | exact
History Honours,Rise of the Modern West-I,2026,Semester 3,3,https://drive.google.com/file/d/1ObRXza3Yqgbof7_I_kdsvYe7_6nn0PoS/view,2026_sem-3_dsc-2_upc-2312102302_qp-5159.pdf,Hons | exact
History Honours,History of India – III: 750 – 1200,2026,Semester 3,3,https://drive.google.com/file/d/1IAcujpqypPe8V06pP9AQ1e8OQOCQEzPq/view,2026_sem-3_dsc-1_upc-2312102301_qp-5045_set-02.pdf,Hons | exact
History Honours,History of India – III: 750 – 1200,2026,Semester 3,3,https://drive.google.com/file/d/1yqqOY5o9sUkKZkjb_sh03IMRRjE_jvF7/view,2026_sem-3_dsc-1_upc-2312102301_qp-5045_set-01.pdf,Hons | exact
History Honours,History of the USA: Reconstruction to New Age Politics,2023,Semester 6,6,https://drive.google.com/file/d/1-fKHEiudzBlbN-w5CTq5VhhrUbcepL7h/view,2023_sem-6_dsc-3_upc-12317608_set-01.pdf,Hons | exact
History Honours,History of the USA: Reconstruction to New Age Politics,2023,Semester 2,2,https://drive.google.com/file/d/1cMOuHk-aMyk2kCEN6UV5_Wgq4kOyFFYj/view,2023_sem-2_dsc-3_upc-2312101203_set-02.pdf,Hons | exact
