course,subject,yearRange,semesterGroup,semester,fileUrl,fileName,note
B. A Program Sociology,An Invitation to Sociology,2025-2026,Semester I,I,https://qb.exam.du.ac.in/uploads/questions/1778057936.pdf,,UPC 2302201101 | DSC/Core | DSC I | NOV-DEC-2025 | SET-1 | 90 marks
B. A Program Sociology,An Invitation to Sociology,2025-2026,Semester I,I,https://qb.exam.du.ac.in/uploads/questions/1775472111.pdf,,UPC 2302201101 | DSC/Core | DSC I | NOV-DEC-2025 | SET-1 | 90 marks
B. A Program Sociology,An Invitation to Sociology,2024-2025,Semester I,I,https://qb.exam.du.ac.in/uploads/questions/1745300453.pdf,,UPC 2302201101 | DSC/Core | DSC I | NOV-DEC-2024 | SET-1 | 90 marks
B. A Program Sociology,An Invitation to Sociology,2024-2025,Semester I,I,https://qb.exam.du.ac.in/uploads/questions/1742374360.pdf,,UPC 2302201101 | DSC/Core | DSC I | NOV-DEC-2024 | SET-1 | 90 marks
B. A Program Sociology,An Invitation to Sociology,2022-2023,Semester I,I,https://qb.exam.du.ac.in/uploads/questions/1729584743.pdf,,UPC 2302201101 | DSC/Core | DSC I | MAY-JUNE-2023 | SET-1 | 90 marks
B. A Program Sociology,Family and Marriage,2024-2025,Semester I,I,https://qb.exam.du.ac.in/uploads/questions/1742290071.pdf,,UPC 2302201102 | DSC/Core | DSC 2 | NOV-DEC-2024 | SET-1 | 90 marks
B. A Program Sociology,Family and Intimacy,2025-2026,Semester I,I,https://qb.exam.du.ac.in/uploads/questions/1784704759.pdf,,UPC 2304001001 | DSE | GE 1 | MAY-JUNE-2026 | SET-1 | 90 marks
B. A Program Sociology,Family and Intimacy,2025-2026,Semester I,I,https://qb.exam.du.ac.in/uploads/questions/1772086184.pdf,,UPC 2304001001 | DSE | GE 1 | NOV-DEC-2025 | SET-1 | 90 marks
B. A Program Sociology,Family and Intimacy,2024-2025,Semester I,I,https://qb.exam.du.ac.in/uploads/questions/1738309419.pdf,,UPC 2304001001 | DSE | GE 1 | NOV-DEC-2024 | SET-1 | 90 marks
B. A Program Sociology,Family and Intimacy,2023-2024,Semester I,I,https://qb.exam.du.ac.in/uploads/questions/1732280531.pdf,,UPC 2304001001 | DSE | GE 1 | MAY-JUNE-2024 | SET-1 | 90 marks
B. A Program Sociology,Sociology and Everyday Life,2025-2026,Semester I,I,https://qb.exam.du.ac.in/uploads/questions/1772086224.pdf,,UPC 2304001002 | DSE | GE 2 | NOV-DEC-2025 | SET-1 | 90 marks
B. A Program Sociology,Sociology and Everyday Life,2024-2025,Semester I,I,https://qb.exam.du.ac.in/uploads/questions/1767351443.pdf,,UPC 2304001002 | DSE | GE 2 | MAY-JUNE-2025 | SET-1 | 90 marks
B. A Program Sociology,Sociology and Everyday Life,2024-2025,Semester I,I,https://qb.exam.du.ac.in/uploads/questions/1738309477.pdf,,UPC 2304001002 | DSE | GE 2 | NOV-DEC-2024 | SET-1 | 90 marks
B. A Program Sociology,Understanding Indian Society,2025-2026,Semester I,I,https://qb.exam.du.ac.in/uploads/questions/1772086256.pdf,,UPC 2304001003 | DSE | GE 3 | NOV-DEC-2025 | SET-1 | 90 marks
B. A Program Sociology,Understanding Indian Society,2024-2025,Semester I,I,https://qb.exam.du.ac.in/uploads/questions/1738309636.pdf,,UPC 2304001003 | DSE | GE 3 | NOV-DEC-2024 | SET-1 | 90 marks
B. A Program Sociology,Understanding Indian Society,2023-2024,Semester I,I,https://qb.exam.du.ac.in/uploads/questions/1732302857.pdf,,UPC 2304001003 | DSE | GE 3 | MAY-JUNE-2024 | SET-1 | 90 marks
B. A Program Sociology,Religion and Society,2024-2025,Semester II,II,https://qb.exam.du.ac.in/uploads/questions/1768295245.pdf,,UPC 2302201202 | DSC/Core | DSC 4 | MAY-JUNE-2025 | SET-1 | 90 marks
B. A Program Sociology,Sociology of India,2025-2026,Semester II,II,https://qb.exam.du.ac.in/uploads/questions/1784870563.pdf,,UPC 2302201201 | DSC/Core | DSC 3 | MAY-JUNE-2026 | SET-1 | 90 marks
B. A Program Sociology,Sociology of India,2025-2026,Semester II,II,https://qb.exam.du.ac.in/uploads/questions/1784185773.pdf,,UPC 2302201201 | DSC/Core | DSC 3 | MAY-JUNE-2026 | SET-1 | 90 marks
B. A Program Sociology,Sociology of India,2024-2025,Semester II,II,https://qb.exam.du.ac.in/uploads/questions/1764048302.pdf,,UPC 2302201201 | DSC/Core | DSC 3 | MAY-JUNE-2025 | SET-1 | 90 marks
B. A Program Sociology,Sociology of India,2022-2023,Semester II,II,https://qb.exam.du.ac.in/uploads/questions/1729666202.pdf,,UPC 2302201201 | DSC/Core | DSC 3 | MAY-JUNE-2023 | SET-1 | 90 marks
B. A Program Sociology,Sociology of India,2025-2026,Semester II,II,https://qb.exam.du.ac.in/uploads/questions/1784870563.pdf,,UPC 2302201201 | DSC/Core | DSC 2 | MAY-JUNE-2026 | SET-1 | 90 marks
B. A Program Sociology,Sociology of India,2025-2026,Semester II,II,https://qb.exam.du.ac.in/uploads/questions/1784185773.pdf,,UPC 2302201201 | DSC/Core | DSC 2 | MAY-JUNE-2026 | SET-1 | 90 marks
B. A Program Sociology,Sociology of India,2024-2025,Semester II,II,https://qb.exam.du.ac.in/uploads/questions/1764048302.pdf,,UPC 2302201201 | DSC/Core | DSC 2 | MAY-JUNE-2025 | SET-1 | 90 marks
B. A Program Sociology,Sociology of India,2022-2023,Semester II,II,https://qb.exam.du.ac.in/uploads/questions/1729666202.pdf,,UPC 2302201201 | DSC/Core | DSC 2 | MAY-JUNE-2023 | SET-1 | 90 marks
B. A Program Sociology,"Gender, Power and Violence",2025-2026,Semester II,II,https://qb.exam.du.ac.in/uploads/questions/1784704728.pdf,,UPC 2304001201 | DSE | GE 4 | MAY-JUNE-2026 | SET-1 | 90 marks
B. A Program Sociology,"Gender, Power and Violence",2024-2025,Semester II,II,https://qb.exam.du.ac.in/uploads/questions/1767351494.pdf,,UPC 2304001201 | DSE | GE 4 | MAY-JUNE-2025 | SET-1 | 90 marks
B. A Program Sociology,"Gender, Power and Violence",2023-2024,Semester II,II,https://qb.exam.du.ac.in/uploads/questions/1732303123.pdf,,UPC 2304001201 | DSE | GE 4 | MAY-JUNE-2024 | SET-1 | 90 marks
B. A Program Sociology,Invitation to Sociological theory,2025-2026,Semester II,II,https://qb.exam.du.ac.in/uploads/questions/1784704908.pdf,,UPC 2304001203 | DSE | GE 6 | MAY-JUNE-2026 | SET-1 | 90 marks
B. A Program Sociology,Invitation to Sociological theory,2024-2025,Semester II,II,https://qb.exam.du.ac.in/uploads/questions/1767351597.pdf,,UPC 2304001203 | DSE | GE 6 | MAY-JUNE-2025 | SET-1 | 90 marks
B. A Program Sociology,Invitation to Sociological theory,2023-2024,Semester II,II,https://qb.exam.du.ac.in/uploads/questions/1732303003.pdf,,UPC 2304001203 | DSE | GE 6 | MAY-JUNE-2024 | SET-1 | 90 marks
B. A Program Sociology,Sociology of Intimate life,2025-2026,Semester II,II,https://qb.exam.du.ac.in/uploads/questions/1784704704.pdf,,UPC 2304001202 | DSE | GE 5 | MAY-JUNE-2026 | SET-1 | 90 marks
B. A Program Sociology,Sociology of Intimate life,2025-2026,Semester II,II,https://qb.exam.du.ac.in/uploads/questions/1783585463.pdf,,UPC 2304001202 | DSE | GE 5 | MAY-JUNE-2026 | SET-1 | 90 marks
B. A Program Sociology,Sociology of Intimate life,2024-2025,Semester II,II,https://qb.exam.du.ac.in/uploads/questions/1767351544.pdf,,UPC 2304001202 | DSE | GE 5 | MAY-JUNE-2025 | SET-1 | 90 marks
B. A Program Sociology,Sociology of Intimate life,2023-2024,Semester II,II,https://qb.exam.du.ac.in/uploads/questions/1732303065.pdf,,UPC 2304001202 | DSE | GE 5 | MAY-JUNE-2024 | SET-1 | 90 marks
B. A Program Sociology,Classical Sociological Thinkers,2025-2026,Semester IIi,IIi,https://qb.exam.du.ac.in/uploads/questions/1773419178.pdf,,UPC 2302202301 | DSC/Core | DSC 5 | NOV-DEC-2025 | SET-1 | 90 marks
B. A Program Sociology,Classical Sociological Thinkers,2024-2025,Semester IIi,IIi,https://qb.exam.du.ac.in/uploads/questions/1742223630.pdf,,UPC 2302202301 | DSC/Core | DSC 5 | NOV-DEC-2024 | SET-1 | 90 marks
B. A Program Sociology,Classical Sociological Thinkers (Major),2025-2026,Semester III,III,https://qb.exam.du.ac.in/uploads/questions/1773419178.pdf,,UPC 2302202301 | DSC/Core | DSC 3 | NOV-DEC-2025 | SET-1 | 90 marks
B. A Program Sociology,Classical Sociological Thinkers (Major),2024-2025,Semester III,III,https://qb.exam.du.ac.in/uploads/questions/1742223630.pdf,,UPC 2302202301 | DSC/Core | DSC 3 | NOV-DEC-2024 | SET-1 | 90 marks
B. A Program Sociology,Polity and Society,2024-2025,Semester III,III,https://qb.exam.du.ac.in/uploads/questions/1742461571.pdf,,UPC 2302202302 | DSC/Core | DSC 6 | NOV-DEC-2024 | SET-1 | 80 marks
B. A Program Sociology,Cities and Society,2025-2026,Semester III,III,https://qb.exam.du.ac.in/uploads/questions/1784271420.pdf,,UPC 2304002002 | DSE | GE 8 | MAY-JUNE-2026 | SET-1 | 90 marks
B. A Program Sociology,Cities and Society,2025-2026,Semester III,III,https://qb.exam.du.ac.in/uploads/questions/1774854000.pdf,,UPC 2304002002 | DSE | GE 8 | NOV-DEC-2025 | SET-1 | 90 marks
B. A Program Sociology,Cities and Society,2024-2025,Semester III,III,https://qb.exam.du.ac.in/uploads/questions/1752035463.pdf,,UPC 2304002002 | DSE | GE 8 | MAY-JUNE-2025 | SET-1 | 90 marks
B. A Program Sociology,Cities and Society,2024-2025,Semester III,III,https://qb.exam.du.ac.in/uploads/questions/1751265941.pdf,,UPC 2304002002 | DSE | GE 8 | MAY-JUNE-2025 | SET-1 | 90 marks
B. A Program Sociology,Cities and Society,2024-2025,Semester III,III,https://qb.exam.du.ac.in/uploads/questions/1742213921.pdf,,UPC 2304002002 | DSE | GE 8 | NOV-DEC-2024 | SET-1 | 90 marks
B. A Program Sociology,Social Inequalities,2025-2026,Semester III,III,https://qb.exam.du.ac.in/uploads/questions/1784271391.pdf,,UPC 2304002001 | DSE | GE 7 | MAY-JUNE-2026 | SET-1 | 90 marks
B. A Program Sociology,Social Inequalities,2024-2025,Semester III,III,https://qb.exam.du.ac.in/uploads/questions/1751265883.pdf,,UPC 2304002001 | DSE | GE 7 | MAY-JUNE-2025 | SET-1 | 90 marks
B. A Program Sociology,Social Inequalities,2024-2025,Semester III,III,https://qb.exam.du.ac.in/uploads/questions/1742213863.pdf,,UPC 2304002001 | DSE | GE 7 | NOV-DEC-2024 | SET-1 | 90 marks
B. A Program Sociology,Sociology and Social Policy,2024-2025,Semester III,III,https://qb.exam.du.ac.in/uploads/questions/1742291061.pdf,,UPC 2303100009 | DSE | DSE-09 | NOV-DEC-2024 | SET-1 | 90 marks
B. A Program Sociology,Sociology of Body,2024-2025,Semester III,III,https://qb.exam.du.ac.in/uploads/questions/1742291007.pdf,,UPC 2303100008 | DSE | DSE-08 | NOV-DEC-2024 | SET-1 | 90 marks
B. A Program Sociology,Sociology of Climate Change,2024-2025,Semester III,III,https://qb.exam.du.ac.in/uploads/questions/1742214422.pdf,,UPC 2304002003 | DSE | GE 9 | NOV-DEC-2024 | SET-1 | 90 marks
B. A Program Sociology,Sociology of Health and Medicine,2025-2026,Semester III,III,https://qb.exam.du.ac.in/uploads/questions/1784178234.pdf,,UPC 2303102003 | DSE | DSE-03 | MAY-JUNE-2026 | SET-1 | 75 marks
B. A Program Sociology,Sociology of Health and Medicine,2025-2026,Semester III,III,https://qb.exam.du.ac.in/uploads/questions/1775494868.pdf,,UPC 2303102003 | DSE | DSE-03 | NOV-DEC-2025 | SET-1 | 80 marks
B. A Program Sociology,Sociology of Health and Medicine,2023-2024,Semester III,III,https://qb.exam.du.ac.in/uploads/questions/1731853666.pdf,,UPC 2303102003 | DSE | DSE-03 | MAY-JUNE-2024 | SET-1 | 80 marks
B. A Program Sociology,Sociology of Work,2025-2026,Semester III,III,https://qb.exam.du.ac.in/uploads/questions/1775494787.pdf,,UPC 2303102002 | DSE | DSE-02 | NOV-DEC-2025 | SET-1 | 80 marks
B. A Program Sociology,Urban Sociology,2025-2026,Semester III,III,https://qb.exam.du.ac.in/uploads/questions/1775494531.pdf,,UPC 2303102001 | DSE | DSE-01 | NOV-DEC-2025 | SET-1 | 80 marks
B. A Program Sociology,Visual Culture,2024-2025,Semester III,III,https://qb.exam.du.ac.in/uploads/questions/1742290935.pdf,,UPC 2303100007 | DSE | DSE-07 | NOV-DEC-2024 | SET-1 | 90 marks
B. A Program Sociology,Economic Sociology,2025-2026,Semester IV,IV,https://qb.exam.du.ac.in/uploads/questions/1784702705.pdf,,UPC 2302102402 | DSC/Core | DSC 8 | MAY-JUNE-2026 | SET-1 | 90 marks
B. A Program Sociology,Economic Sociology,2025-2026,Semester IV,IV,https://qb.exam.du.ac.in/uploads/questions/1783669177.pdf,,UPC 2302102402 | DSC/Core | DSC 8 | MAY-JUNE-2026 | SET-1 | 90 marks
B. A Program Sociology,Economic Sociology,2024-2025,Semester IV,IV,https://qb.exam.du.ac.in/uploads/questions/1750828366.pdf,,UPC 2302102402 | DSC/Core | DSC 8 | MAY-JUNE-2025 | SET-1 | 90 marks
B. A Program Sociology,Economic Sociology,2024-2025,Semester IV,IV,https://qb.exam.du.ac.in/uploads/questions/1750138969.pdf,,UPC 2302102402 | DSC/Core | DSC 8 | MAY-JUNE-2025 | SET-1 | 90 marks
B. A Program Sociology,Economic Sociology,2022-2023,Semester IV,IV,https://qb.exam.du.ac.in/uploads/questions/1731998949.pdf,,UPC 2302102402 | DSC/Core | DSC 8 | MAY-JUNE-2023 | SET-1 | 90 marks
B. A Program Sociology,Post Classical Sociological Thinkers,2025-2026,Semester IV,IV,https://qb.exam.du.ac.in/uploads/questions/1784612974.pdf,,UPC 2302202401 | DSC/Core | DSC 7 | MAY-JUNE-2026 | SET-1 | 90 marks
B. A Program Sociology,Post Classical Sociological Thinkers,2025-2026,Semester IV,IV,https://qb.exam.du.ac.in/uploads/questions/1783918035.pdf,,UPC 2302202401 | DSC/Core | DSC 7 | MAY-JUNE-2026 | SET-1 | 90 marks
B. A Program Sociology,Post Classical Sociological Thinkers,2024-2025,Semester IV,IV,https://qb.exam.du.ac.in/uploads/questions/1750920156.pdf,,UPC 2302202401 | DSC/Core | DSC 7 | MAY-JUNE-2025 | SET-1 | 90 marks
B. A Program Sociology,Post Classical Sociological Thinkers,2024-2025,Semester IV,IV,https://qb.exam.du.ac.in/uploads/questions/1750653782.pdf,,UPC 2302202401 | DSC/Core | DSC 7 | MAY-JUNE-2025 | SET-1 | 90 marks
B. A Program Sociology,Post Classical Sociological Thinkers,2023-2024,Semester IV,IV,https://qb.exam.du.ac.in/uploads/questions/1732176099.pdf,,UPC 2302202401 | DSC/Core | DSC 7 | MAY-JUNE-2024 | SET-2 | 90 marks
B. A Program Sociology,Post Classical Sociological Thinkers,2023-2024,Semester IV,IV,https://qb.exam.du.ac.in/uploads/questions/1732044406.pdf,,UPC 2302202401 | DSC/Core | DSC 7 | MAY-JUNE-2024 | SET-1 | 90 marks
B. A Program Sociology,Post Classical Sociological Thinkers,2025-2026,Semester IV,IV,https://qb.exam.du.ac.in/uploads/questions/1784612974.pdf,,UPC 2302202401 | DSC/Core | DSC 4 | MAY-JUNE-2026 | SET-1 | 90 marks
B. A Program Sociology,Post Classical Sociological Thinkers,2025-2026,Semester IV,IV,https://qb.exam.du.ac.in/uploads/questions/1783918035.pdf,,UPC 2302202401 | DSC/Core | DSC 4 | MAY-JUNE-2026 | SET-1 | 90 marks
B. A Program Sociology,Post Classical Sociological Thinkers,2024-2025,Semester IV,IV,https://qb.exam.du.ac.in/uploads/questions/1750920156.pdf,,UPC 2302202401 | DSC/Core | DSC 4 | MAY-JUNE-2025 | SET-1 | 90 marks
B. A Program Sociology,Post Classical Sociological Thinkers,2024-2025,Semester IV,IV,https://qb.exam.du.ac.in/uploads/questions/1750653782.pdf,,UPC 2302202401 | DSC/Core | DSC 4 | MAY-JUNE-2025 | SET-1 | 90 marks
B. A Program Sociology,Post Classical Sociological Thinkers,2023-2024,Semester IV,IV,https://qb.exam.du.ac.in/uploads/questions/1732176099.pdf,,UPC 2302202401 | DSC/Core | DSC 4 | MAY-JUNE-2024 | SET-2 | 90 marks
B. A Program Sociology,Post Classical Sociological Thinkers,2023-2024,Semester IV,IV,https://qb.exam.du.ac.in/uploads/questions/1732044406.pdf,,UPC 2302202401 | DSC/Core | DSC 4 | MAY-JUNE-2024 | SET-1 | 90 marks
B. A Program Sociology,Animals and Society,2025-2026,Semester IV,IV,https://qb.exam.du.ac.in/uploads/questions/1784265234.pdf,,UPC 2303100010 | DSE | DSE-10 | MAY-JUNE-2026 | SET-1 | 90 marks
B. A Program Sociology,Animals and Society,2025-2026,Semester IV,IV,https://qb.exam.du.ac.in/uploads/questions/1784017332.pdf,,UPC 2303100010 | DSE | DSE-10 | MAY-JUNE-2026 | SET-1 | 90 marks
B. A Program Sociology,Animals and Society,2024-2025,Semester IV,IV,https://qb.exam.du.ac.in/uploads/questions/1767169031.pdf,,UPC 2303100010 | DSE | DSE-10 | MAY-JUNE-2025 | SET-1 | 90 marks
B. A Program Sociology,Animals and Society,2024-2025,Semester IV,IV,https://qb.exam.du.ac.in/uploads/questions/1766997565.pdf,,UPC 2303100010 | DSE | DSE-10 | MAY-JUNE-2025 | SET-1 | 90 marks
B. A Program Sociology,Animals and Society,2024-2025,Semester IV,IV,https://qb.exam.du.ac.in/uploads/questions/1749708503.pdf,,UPC 2303100010 | DSE | DSE-10 | MAY-JUNE-2025 | SET-1 | 90 marks
B. A Program Sociology,Sociology of Care,2024-2025,Semester IV,IV,https://qb.exam.du.ac.in/uploads/questions/1765263940.pdf,,UPC 2303100011 | DSE | DSE-11 | MAY-JUNE-2025 | SET-1 | 90 marks
B. A Program Sociology,Sociology of Education,2025-2026,Semester IV,IV,https://qb.exam.du.ac.in/uploads/questions/1784009121.pdf,,UPC 2303102004 | DSE | DSE-04 | MAY-JUNE-2026 | SET-1 | 90 marks
B. A Program Sociology,Sociology of Fashion,2024-2025,Semester IV,IV,https://qb.exam.du.ac.in/uploads/questions/1752035743.pdf,,UPC 2304002006 | DSE | GE 12 | MAY-JUNE-2025 | SET-1 | 90 marks
B. A Program Sociology,Sociology of Fashion,2023-2024,Semester IV,IV,https://qb.exam.du.ac.in/uploads/questions/1732099668.pdf,,UPC 2304002006 | DSE | GE 12 | MAY-JUNE-2024 | SET-1 | 90 marks
B. A Program Sociology,Sociology of Media,2025-2026,Semester IV,IV,https://qb.exam.du.ac.in/uploads/questions/1784009201.pdf,,UPC 2303102006 | DSE | DSE-06 | MAY-JUNE-2026 | SET-1 | 90 marks
B. A Program Sociology,Sociology of organizations,2024-2025,Semester IV,IV,https://qb.exam.du.ac.in/uploads/questions/1752035682.pdf,,UPC 2304002005 | DSE | GE 11 | MAY-JUNE-2025 | SET-1 | 90 marks
B. A Program Sociology,Sociology of organizations,2023-2024,Semester IV,IV,https://qb.exam.du.ac.in/uploads/questions/1732099580.pdf,,UPC 2304002005 | DSE | GE 11 | MAY-JUNE-2024 | SET-1 | 90 marks
B. A Program Sociology,Sociology of Public Health,2024-2025,Semester IV,IV,https://qb.exam.du.ac.in/uploads/questions/1752035592.pdf,,UPC 2304002004 | DSE | GE 10 | MAY-JUNE-2025 | SET-1 | 90 marks
