classification,match_method,group_size,paper_name,department,upc,exam_session,set,detail_url,pdf_url
UNIQUE,none,1,URDU A,AECC,72142801,MAY-JUNE-2026,SET-1,https://qb.exam.du.ac.in/web-page-details/6a226894d5853,https://qb.exam.du.ac.in/uploads/questions/1780639892.pdf
UNIQUE,none,1,ENGLISH A,AECC,72032801,MAY-JUNE-2026,SET-1,https://qb.exam.du.ac.in/web-page-details/6a226ca48bfd6,https://qb.exam.du.ac.in/uploads/questions/1780640932.pdf
UNIQUE,none,1,ENGLISH B,AECC,72032805,NOV-DEC-2025,SET-1,https://qb.exam.du.ac.in/web-page-details/69ae6866609a8,https://qb.exam.du.ac.in/uploads/questions/1773037670.pdf
UNIQUE,none,1,URDU A,AECC,72142801,NOV-DEC-2025,SET-1,https://qb.exam.du.ac.in/web-page-details/69ae6baf0aad7,https://qb.exam.du.ac.in/uploads/questions/1773038511.pdf
UNIQUE,none,1,ENGLISH A,AECC,72032801,NOV-DEC-2025,SET-1,https://qb.exam.du.ac.in/web-page-details/69ae6847f34ae,https://qb.exam.du.ac.in/uploads/questions/1773037639.pdf
UNIQUE,none,1,ENGLISH B-AECC,AECC,72032805,MAY-JUNE-2025,SET-1,https://qb.exam.du.ac.in/web-page-details/695f6ed6d1d05,https://qb.exam.du.ac.in/uploads/questions/1767861974.pdf
UNIQUE,none,1,URDU A,AECC,72142801,NOV-DEC-2024,SET-1,https://qb.exam.du.ac.in/web-page-details/67c45e5b5e921,https://qb.exam.du.ac.in/uploads/questions/1740922459.pdf
UNIQUE,none,1,ENGLISH A-AECC,AECC,72032801,MAY-JUNE-2025,SET-1,https://qb.exam.du.ac.in/web-page-details/695f6e2a4ff14,https://qb.exam.du.ac.in/uploads/questions/1767861802.pdf
UNIQUE,none,1,URDU A,AECC,72142801,MAY-JUNE-2024,SET-1,https://qb.exam.du.ac.in/web-page-details/673b20e489f83,https://qb.exam.du.ac.in/uploads/questions/1731928292.pdf
UNIQUE,none,1,ENGLISH B,AECC,72032805,NOV-DEC-2024,SET-1,https://qb.exam.du.ac.in/web-page-details/67c43a40e2db5,https://qb.exam.du.ac.in/uploads/questions/1740913216.pdf
UNIQUE,none,1,ENGLISH A,AECC,72032801,NOV-DEC-2024,SET-1,https://qb.exam.du.ac.in/web-page-details/67c437be9044a,https://qb.exam.du.ac.in/uploads/questions/1740912574.pdf
PROBABLE_DUPLICATE,upc+session+set,2,ENGLISH A,AECC,72032801,MAY-JUNE-2024,SET-1,https://qb.exam.du.ac.in/web-page-details/674df03d2913f,https://qb.exam.du.ac.in/uploads/questions/1733161021.pdf
PROBABLE_DUPLICATE,upc+session+set,2,ENGLISH A,AECC,72032801,MAY-JUNE-2024,SET-1,https://qb.exam.du.ac.in/web-page-details/6739e30162fb4,https://qb.exam.du.ac.in/uploads/questions/1731846913.pdf
UNIQUE,none,1,ENGLISH B,AECC,72032805,NOV-DEC-2023,SET-1,https://qb.exam.du.ac.in/web-page-details/674df09f0d597,https://qb.exam.du.ac.in/uploads/questions/1733161119.pdf
UNIQUE,none,1,ENGLISH B,AECC,72032805,MAY-JUNE-2024,SET-1,https://qb.exam.du.ac.in/web-page-details/6739e3f2d75ad,https://qb.exam.du.ac.in/uploads/questions/1731847154.pdf
UNIQUE,none,1,ENGLISH C,AECC,72032806,MAY-JUNE-2026,SET-1,https://qb.exam.du.ac.in/web-page-details/6a226c4801cec,https://qb.exam.du.ac.in/uploads/questions/1780640840.pdf
UNIQUE,none,1,ENGLISH C,AECC,72032806,NOV-DEC-2025,SET-1,https://qb.exam.du.ac.in/web-page-details/69ae688a2fe4b,https://qb.exam.du.ac.in/uploads/questions/1773037706.pdf
UNIQUE,none,1,ENGLISH-C-AECC,AECC,72032806,MAY-JUNE-2025,SET-1,https://qb.exam.du.ac.in/web-page-details/695f6f26047df,https://qb.exam.du.ac.in/uploads/questions/1767862054.pdf
