course,subject,yearRange,semesterGroup,semester,fileUrl,fileName,note
BA(H) ENGLISH,16TH & 17TH CENTURY ENGLISH DRAMA,2023,Not Specified,,https://drive.google.com/file/d/1KvpfY5xfKJijHRiGbqedzZUp1DCKOG7c/view?usp=drive_link,,Paper Code 2032101202 | Syllabus: https://drive.google.com/file/d/1NVpeVeT7md-c1U3Sm7uJRFtCR5pDWU9V/view?usp=drive_link
BA(H) ENGLISH,18TH CENTURY LITERATURE,2023,Not Specified,,https://drive.google.com/file/d/1x6q1PUm6Wd2OZrd4GXyAtOr-mtuuqoiL/view?usp=drive_link,,Paper Code 2032101203 | Syllabus: https://drive.google.com/file/d/1Qn4Y93SIIMuoI_dCUK8EOj_ZGk2AtwU0/view?usp=drive_link
BA(H) ENGLISH,EUROPEAN CLASSICAL LITERATURE,2023,Not Specified,,https://drive.google.com/file/d/1VgZtpeY5uMVNL4lJIAm9XLxshUDew1IL/view?usp=drive_link,,Paper Code 2032101102 | Syllabus: https://drive.google.com/file/d/11kDMAZGRiZAcS3QsDnJ_LbYE6tQfUPGk/view?usp=drive_link
BA(H) ENGLISH,INDIAN CLASSICAL LITERATURE,2023,Not Specified,,https://drive.google.com/file/d/1BA5WqhtsVuQ6So-ddRUrcat3MxY7Dsze/view?usp=drive_link,,Paper Code 2032101103 | Syllabus: https://drive.google.com/file/d/1D9yRrjVPl18kqEcSvrbtaCmha3UrLnTX/view?usp=drive_link
BA(H) ENGLISH,INTRODUCTION TO LITERARY STUDIES,2023,Not Specified,,https://drive.google.com/file/d/1VHMgeBl-SxbXCPxmB1PUoo_lvQ9NhIEu/view?usp=drive_link,,Paper Code 2032101101 | Syllabus: https://drive.google.com/file/d/1jgJ_CHZqork3s9u63cSlBFf6uAc_MBzo/view?usp=drive_link
BA(H) ENGLISH,LITERARY CRITICISM,2023,Not Specified,,https://drive.google.com/file/d/1PXOGb90gNA66G1MZWGNqIAlNk859v5uF/view?usp=drive_link,,Paper Code 2032102303 | Syllabus: https://drive.google.com/file/d/1zfx4TkuVTDcwUwAtv-6xLwNcGm7anitt/view?usp=drive_link
BA(H) ENGLISH,ROMANTIC LITERATURE,2023,Not Specified,,https://drive.google.com/file/d/1WYtcPPYVxnMlKHFvRD0YpnXWeTR0v7GW/view?usp=drive_link,,Paper Code 2032102301 | Syllabus: https://drive.google.com/file/d/1YKGDSgy31XGNBOpxJeHdMqhLJKQ9-Mgp/view?usp=drive_link
BA(H) ENGLISH,VICTORIAN LITERATURE,2023,Not Specified,,https://drive.google.com/file/d/1WauVwYTZEo0YX8EuNNc6ObbdrZhM6GGr/view?usp=drive_link,,Paper Code 2032102302 | Syllabus: https://drive.google.com/file/d/1L_-m9e4OQwpj_43gUPDmoJ_U7AwC0SiK/view?usp=drive_link
BA(H) ENGLISH,14TH TO 17TH CENTURY ENGLISH POETRY,2024,Not Specified,,https://drive.google.com/file/d/1aBaaODSgvUCedlNZZpi_szLOpo95x0iV/view?usp=sharing,,Paper Code 2032101201 | Syllabus: https://drive.google.com/file/d/1fl-oaZgq7KkSZt1YA7G4cqqae0FTxwnl/view?usp=drive_link
BA(H) ENGLISH,16TH AND 17TH CENTURY ENGLISH DRAMA,2024,Not Specified,,https://drive.google.com/file/d/1j3ZQPUafHVi8S-qS9E2F7-5DAYkpjF7g/view?usp=sharing,,Paper Code 2032101202 | Syllabus: https://drive.google.com/file/d/1NVpeVeT7md-c1U3Sm7uJRFtCR5pDWU9V/view?usp=drive_link
BA(H) ENGLISH,18TH CENTURY LITERATURE,2024,Not Specified,,https://drive.google.com/file/d/1KpOAg8USCWsBzZbC-Qr6bnVdwm4V8R4G/view?usp=sharing,,Paper Code 2032101203 | Syllabus: https://drive.google.com/file/d/1Qn4Y93SIIMuoI_dCUK8EOj_ZGk2AtwU0/view?usp=drive_link
BA(H) ENGLISH,AMERICAN LITERATURE,2024,Not Specified,,https://drive.google.com/file/d/1fcBRr2VzMX2Ia2MR6buUNHOVlMviD8km/view?usp=drive_link,,Paper Code 2032102401 | Syllabus: https://drive.google.com/file/d/1roGAaGOOWxRy2NzlbDDzLQohACKzxKXZ/view?usp=drive_link
BA(H) ENGLISH,INDIAN WRITING IN ENGLISH,2024,Not Specified,,https://drive.google.com/file/d/1-OcxJw96fMvGMFJcGfand6B6ujiciZ5A/view?usp=drive_link,,Paper Code 2032102402 | Syllabus: https://drive.google.com/file/d/1GkNIS51usO-Fdz5Muc3SH0BsGvZz-ChS/view?usp=drive_link
BA(H) ENGLISH,INDIAN WRITING IN ENGLISH TRANSLATION,2024,Not Specified,,https://drive.google.com/file/d/1BFgsTHhOR7pasyqgqu4DrFLrfPoAenRZ/view?usp=drive_link,,Paper Code 2032102403 | Syllabus: https://drive.google.com/file/d/1-nq6Gwya2fYT3m38-qvEN6YhaxHSDHPp/view?usp=drive_link
BA(H) ENGLISH,14TH TO 17TH CENTURY ENGLISH POETRY,2025,Not Specified,,https://drive.google.com/file/d/1E81XTidCAsH94Ltko5sETBC5eWuWNOFX/view?usp=sharing,,Paper Code 2032101201 | Syllabus: https://drive.google.com/file/d/1fl-oaZgq7KkSZt1YA7G4cqqae0FTxwnl/view?usp=drive_link
