source,department,paper_name,paper_code,upc,programme,course,semester,exam_session,year,marks,set,question_for,remarks,detail_url,pdf_url,pdf_filename,scraped_at
DU_QUESTION_BANK,AECC,URDU A,72142801,72142801,,,,MAY-JUNE-2026,2026,75,SET-1,DU-Regular,NA,https://qb.exam.du.ac.in/web-page-details/6a226894d5853,https://qb.exam.du.ac.in/uploads/questions/1780639892.pdf,1780639892.pdf,2026-08-10T11:52:01.660Z
DU_QUESTION_BANK,AECC,ENGLISH A,72032801,72032801,,,,MAY-JUNE-2026,2026,75,SET-1,DU-Regular,NA,https://qb.exam.du.ac.in/web-page-details/6a226ca48bfd6,https://qb.exam.du.ac.in/uploads/questions/1780640932.pdf,1780640932.pdf,2026-08-10T11:52:01.665Z
DU_QUESTION_BANK,AECC,ENGLISH B,72032805,72032805,,,,NOV-DEC-2025,2025,70,SET-1,DU-Regular,English 8 -AECC,https://qb.exam.du.ac.in/web-page-details/69ae6866609a8,https://qb.exam.du.ac.in/uploads/questions/1773037670.pdf,1773037670.pdf,2026-08-10T11:52:02.561Z
DU_QUESTION_BANK,AECC,URDU A,72142801,72142801,,,,NOV-DEC-2025,2025,70,SET-1,DU-Regular,ABC urdu-A,https://qb.exam.du.ac.in/web-page-details/69ae6baf0aad7,https://qb.exam.du.ac.in/uploads/questions/1773038511.pdf,1773038511.pdf,2026-08-10T11:52:02.714Z
DU_QUESTION_BANK,AECC,ENGLISH A,72032801,72032801,,,,NOV-DEC-2025,2025,70,SET-1,DU-Regular,English A -AECC,https://qb.exam.du.ac.in/web-page-details/69ae6847f34ae,https://qb.exam.du.ac.in/uploads/questions/1773037639.pdf,1773037639.pdf,2026-08-10T11:52:02.716Z
DU_QUESTION_BANK,AECC,ENGLISH B-AECC,72032805,72032805,,,,MAY-JUNE-2025,2025,80,SET-1,DU-Regular,aec,https://qb.exam.du.ac.in/web-page-details/695f6ed6d1d05,https://qb.exam.du.ac.in/uploads/questions/1767861974.pdf,1767861974.pdf,2026-08-10T11:52:03.508Z
DU_QUESTION_BANK,AECC,URDU A,72142801,72142801,,,,NOV-DEC-2024,2024,80,SET-1,DU-Regular,Duration : 3 Hours Maximum Marks : 75,https://qb.exam.du.ac.in/web-page-details/67c45e5b5e921,https://qb.exam.du.ac.in/uploads/questions/1740922459.pdf,1740922459.pdf,2026-08-10T11:52:03.709Z
DU_QUESTION_BANK,AECC,ENGLISH A-AECC,72032801,72032801,,,,MAY-JUNE-2025,2025,80,SET-1,DU-Regular,aec,https://qb.exam.du.ac.in/web-page-details/695f6e2a4ff14,https://qb.exam.du.ac.in/uploads/questions/1767861802.pdf,1767861802.pdf,2026-08-10T11:52:03.711Z
DU_QUESTION_BANK,AECC,URDU A,72142801,72142801,,,,MAY-JUNE-2024,2024,80,SET-1,DU-Regular,Duration:3 Hours Maximum Marks:75,https://qb.exam.du.ac.in/web-page-details/673b20e489f83,https://qb.exam.du.ac.in/uploads/questions/1731928292.pdf,1731928292.pdf,2026-08-10T11:52:04.732Z
DU_QUESTION_BANK,AECC,ENGLISH B,72032805,72032805,,,,NOV-DEC-2024,2024,80,SET-1,DU-Regular,Duration : 3 Hours Maximum Marks: 75,https://qb.exam.du.ac.in/web-page-details/67c43a40e2db5,https://qb.exam.du.ac.in/uploads/questions/1740913216.pdf,1740913216.pdf,2026-08-10T11:52:04.737Z
