course,subject,yearrange,semestergroup,semester,fileurl,filename,note
B. Voc – Banking Operations,Corporate Accounting,2022-2023,Semester 2,2,https://drive.google.com/file/d/1V-kw_FfCqIwjLxKxwjd80WxYb_aM9wIS/view,01_2022_Sem-II_DSC-Core_Corporate_Accounting_UPC-22411201_QP-657.pdf,UPC: 22411201 | QP: 657 | Type: DSC-Core
B. Voc – Banking Operations,Corporate Accounting,2022-2023,Semester 2,2,https://drive.google.com/file/d/1RMPxtf_Xk1ZkdkvvDvWNemOevC-FMH86/view,02_2022_Sem-II_DSC-Core_Corporate_Accounting_UPC-22411201_QP-697.pdf,UPC: 22411201 | QP: 697 | Type: DSC-Core
B. Voc – Banking Operations,Corporate Accounting,2023-2024,Semester 2,2,https://drive.google.com/file/d/1sbdODoqEmL6iZK3mZhvY1QdUGaAmvqs1/view,12_2023_Sem-II_DSC-Core_Corporate_Accounting_UPC-22411201_QP-4033.pdf,UPC: 22411201 | QP: 4033 | Type: DSC-Core
B. Voc – Banking Operations,Corporate Accounting,2023-2024,Semester 2,2,https://drive.google.com/file/d/1HkpaWuhHf9f1lrIDkb0ihDV0JYb3aNR8/view,21_2023_Sem-II_DSC_Corporate_Accounting_UPC-2412081201_QP-1131.pdf,UPC: 2412081201 | QP: 1131 | Type: DSC
B. Voc – Banking Operations,Corporate Accounting,2024-2025,Semester 2,2,https://drive.google.com/file/d/1YQcKUruJAdTGbuZ5ASK_O0oLNhmftpwz/view,39_2024_Sem-II_DSC_Corporate_Accounting_UPC-2412081201_QP-3861.pdf,UPC: 2412081201 | QP: 3861 | Type: DSC
B. Voc – Banking Operations,Computer Applications in Business,2023-2024,Semester 4,4,https://drive.google.com/file/d/1VNUT8y2KKGrHZOI0SpdhNAmHkKRv2y63/view,15_2023_Sem-IV_DSC-Core_Computer_Applications_in_Business_UPC-22411403_QP-4035.pdf,UPC: 22411403 | QP: 4035 | Type: DSC-Core
B. Voc – Banking Operations,Computer Applications in Business,2024-2025,Semester 4,4,https://drive.google.com/file/d/15zvviVyLvFLX-6M3TPY1KsxsV3rgydr-/view,36_2024_Sem-IV_DSC-Core_Computer_Applications_in_Business_UPC-22411403_QP-510A.pdf,UPC: 22411403 | QP: 510A | Type: DSC-Core
B.A. (Hons.) Business Economics (BBE),Public Finance,2022-2023,Semester 4,4,https://drive.google.com/file/d/1obhGEMBExFSOZTjb1xJoi_WfVbORK9KU/view,07_2022_Sem-IV_GE_Public_Finance_UPC-12275403_QP-4441.pdf,UPC: 12275403 | QP: 4441 | Type: GE
B.A. (Hons.) Social Work,Human Resource Management,2023-2024,Semester 2,2,https://drive.google.com/file/d/1Vbu2U67WfiVHsRKLq7cb4TNj3LpB5e4X/view,23_2023_Sem-II_DSC_Human_Resource_Management_UPC-2412081203_QP-1133.pdf,UPC: 2412081203 | QP: 1133 | Type: DSC
B.A. (Hons.) Social Work,Human Resource Management,2024-2025,Semester 2,2,https://drive.google.com/file/d/1ucbQJRYBGEG-E3GqmItqqs7lchIw7U9q/view,41_2024_Sem-II_DSC_Human_Resource_Management_UPC-2412081203_QP-3866.pdf,UPC: 2412081203 | QP: 3866 | Type: DSC
B.A. (Hons.) Social Work,Human Resource Management,2024-2025,Semester 2,2,https://drive.google.com/file/d/19aw0YYVohntQb1Tqg1O38SSo7bGc_WZQ/view,34_2024_Sem-II_DSC_Human_Resource_Management_UPC-2412091203_QP-3846_INCOMPLETE.pdf,UPC: 2412091203 | QP: 3846 | Type: DSC | Incomplete paper in source
B.A. (V.S.) Insurance Management,Fundamentals of Investment,2022-2023,Semester 6,6,https://drive.google.com/file/d/1muyThFNWNrbzKJVFF-WBLCxWosDhDREi/view,09_2022_Sem-VI_DSE_Fundamentals_of_Investment_UPC-22417601_QP-660.pdf,UPC: 22417601 | QP: 660 | Type: DSE
B.A. (V.S.) Insurance Management,Fundamentals of Investment,2023-2024,Semester 6,6,https://drive.google.com/file/d/1rcg--lXcTgDcdsgnPblud3lB6B6F4U0M/view,19_2023_Sem-VI_DSE_Fundamentals_of_Investment_UPC-22417601_QP-4037.pdf,UPC: 22417601 | QP: 4037 | Type: DSE
B.A. (V.S.) Modern Office Management,Business Laws,2023-2024,Semester 2,2,https://drive.google.com/file/d/1LZSnY453wStfwSM79QqL2nawnhF7YuKW/view,25_2023_Sem-II_DSC-Core_Business_Laws_UPC-52411201_QP-4370.pdf,UPC: 52411201 | QP: 4370 | Type: DSC-Core
B.A. (V.S.) Modern Office Management,Company Law,2023-2024,Semester 2,2,https://drive.google.com/file/d/1CNkte76ZipDfdDctupX8YdcVhYn49drd/view,22_2023_Sem-II_DSC_2.2_Company_Law_UPC-2412081202_QP-1132.pdf,UPC: 2412081202 | QP: 1132 | Type: DSC
B.A. (V.S.) Modern Office Management,Company Law,2024-2025,Semester 2,2,https://drive.google.com/file/d/1_0jQcvmWWIYuyb5zXGkibKGrz-EitUK6/view,40_2024_Sem-II_DSC_2.2_Company_Law_UPC-2412081202_QP-3864.pdf,UPC: 2412081202 | QP: 3864 | Type: DSC
B.A. (V.S.) Modern Office Management,Company Law,2024-2025,Semester 2,2,https://drive.google.com/file/d/1vrUhmG9cQZ0s6yo3PVbY9gq4bkLMX-BZ/view,33_2024_Sem-II_DSC_Company_Law_UPC-2412091202_QP-3844.pdf,UPC: 2412091202 | QP: 3844 | Type: DSC
B.A. (V.S.) Small And Medium Enterprise,Corporate Laws,2022-2023,Semester 2,2,https://drive.google.com/file/d/1SY53XgKix0HcPFlK0pJhvjCCW9G4scDr/view,04_2022_Sem-II_DSC-Core_Corporate_Laws_UPC-22411202_QP-4092.pdf,UPC: 22411202 | QP: 4092 | Type: DSC-Core
B.A. (V.S.) Small And Medium Enterprise,Corporate Laws,2023-2024,Semester 2,2,https://drive.google.com/file/d/1OECNpCI2VduMtYxBawUQWNn7oX9WULVT/view,13_2023_Sem-II_DSC-Core_Corporate_Laws_UPC-22411202_QP-4036.pdf,UPC: 22411202 | QP: 4036 | Type: DSC-Core
B.A. (V.S.) Small And Medium Enterprise,Cost Accounting,2022-2023,Semester 4,4,https://drive.google.com/file/d/1U_TSiOLUAqY4PYgO6afrAuc69YkrGPXS/view,05_2022_Sem-IV_DSC-Core_Cost_Accounting_UPC-22411401_QP-658.pdf,UPC: 22411401 | QP: 658 | Type: DSC-Core
B.A. (V.S.) Small And Medium Enterprise,Cost Accounting,2024-2025,Semester 4,4,https://drive.google.com/file/d/1oHiPuDmcPnJrBwp-pLBs70EYlHg2v7iE/view,35_2024_Sem-IV_DSC-Core_Cost_Accounting_UPC-22411401_QP-506.pdf,UPC: 22411401 | QP: 506 | Type: DSC-Core
B.A. (V.S.) Small And Medium Enterprise,Cost Accounting,2024-2025,Semester 4,4,https://drive.google.com/file/d/1JU4yzfGeNNl4l0zsTGJFQ0TNisXF9oiS/view,43_2024_Sem-IV_DSC_Cost_Accounting_UPC-2412082402_QP-3863.pdf,UPC: 2412082402 | QP: 3863 | Type: DSC
B.A. Programme,Fundamentals of Business Organisation for Entrepreneurs,2025,Semester 1,1,https://drive.google.com/file/d/1aoMfBGwXKE62PP6HkrKYerksuMDKHJOL/view,b-a-programme_collection-2025_semi_dsc_fundamentals-of-business-organisation-for-entrepreneurs_upc2412251101_qp6520_p039-046.pdf,UPC: 2412251101 | QP: 6520 | Type: DSC | Printed: B.A. UGCF
B.A. Programme,Fundamentals of Entrepreneurship,2025,Semester 2,2,https://drive.google.com/file/d/1F4KhOwEZnxn4a19ahwvJYDp6gpBONh1d/view,b-a-programme_collection-2025_semii_dsc_fundamentals-of-entrepreneurship_upc2412251201_qp7669_p053-056.pdf,UPC: 2412251201 | QP: 7669 | Type: DSC | Printed: B.A. (P) UGCF | Alternate paper; same UPC as QP 7711.
B.A. Programme,Fundamentals of Entrepreneurship,2025,Semester 2,2,https://drive.google.com/file/d/1euEd6tyXWJS0wEdmfiAiYaePrSnLnJ0S/view,b-a-programme_collection-2025_semii_dsc_fundamentals-of-entrepreneurship_upc2412251201_qp7711_p057-060.pdf,UPC: 2412251201 | QP: 7711 | Type: DSC | Printed: B.A. (P) UGCF | Alternate paper; same UPC as QP 7669.
B.A. Programme,Business Laws,2025,Semester 3,3,https://drive.google.com/file/d/1uSMJfztsjfu_xeTbo-hCXGTgVE4X3TBn/view,b-a-programme_collection-2025_semiii_dsc_business-laws_upc2412202302_qp6715_p047-050.pdf,UPC: 2412202302 | QP: 6715 | Type: DSC | Printed: B.A. (P.) UGCF
B.A. Programme,Launching a New Venture,2025,Semester 4,4,https://drive.google.com/file/d/1DXYXsZO9DVc-MZh1mAnSB0oi_mUyPg9I/view,b-a-programme_collection-2025_semiv_dsc_launching-a-new-venture_upc2412252401_qp7314_p077-084.pdf,UPC: 2412252401 | QP: 7314 | Type: DSC | Printed: B.A. UGCF | Long alternate set; same UPC as QP 7429.
B.A. Programme,Launching a New Venture,2025,Semester 4,4,https://drive.google.com/file/d/1CUL-Pko31rntor_IHQ2OXjhdCFIRk16E/view,b-a-programme_collection-2025_semiv_dsc_launching-a-new-venture_upc2412252401_qp7429_p085-088.pdf,UPC: 2412252401 | QP: 7429 | Type: DSC | Printed: B.A. (Prog.) - UGCF | Short alternate set; same UPC as QP 7314.
B.A. Programme,Principles of Management,2025,Semester 4,4,https://drive.google.com/file/d/1MOb9CA6gBRhto7cQ3BkoS9zYbJ4t1qqQ/view,b-a-programme_collection-2025_semiv_dsc_principles-of-management_upc2412202402_qp8100_p089-092.pdf,UPC: 2412202402 | QP: 8100 | Type: DSC | Printed: B.A. (UGCF) - DSC
B.A. Programme,Practical Aspects of Entrepreneurship,2025,Semester 5,5,https://drive.google.com/file/d/1sA0IGOykDCtL65XN03qelwgX_jvOGKln/view,b-a-programme_collection-2025_semv_dsc_practical-aspects-of-entrepreneurship_upc2412253501_qp6263_p071-078.pdf,UPC: 2412253501 | QP: 6263 | Type: DSC | Printed: B.A. Prog ESB | Long alternate set; same UPC as QP 6429.
B.A. Programme,Practical Aspects of Entrepreneurship,2025,Semester 5,5,https://drive.google.com/file/d/1bkdZDIubJYfntgzPdKUEBTi8agM0YqsX/view,b-a-programme_collection-2025_semv_dsc_practical-aspects-of-entrepreneurship_upc2412253501_qp6429_p067-070.pdf,UPC: 2412253501 | QP: 6429 | Type: DSC | Printed: BA Prog ESB | Short alternate set; same UPC as QP 6263.
B.A. Programme,Company Law,2025,Semester 6,6,https://drive.google.com/file/d/1KnitLE-ORbmJwYsn6FTqh64r3umxCHHd/view,b-a-programme_collection-2025_semvi_dsc_company-law_upc2412253602_qp7465_p107-110.pdf,UPC: 2412253602 | QP: 7465 | Type: DSC | Printed: B.A. (Prog.)
B.A. Programme,Feasibility Study and Business Plan,2025,Semester 6,6,https://drive.google.com/file/d/1PwIUw958nR6qRTdouSDr1XdxrqLcdyQt/view,b-a-programme_collection-2025_semvi_dse_feasibility-study-and-business-plan_upc2413250004_qp7567_p111-112.pdf,UPC: 2413250004 | QP: 7567 | Type: DSE | Printed: B.A. UGCF
B.A. Programme,Managerial and Marketing Aspects of Small Business,2025,Semester 6,6,https://drive.google.com/file/d/1vEx8wbpYfZhG_-ncQslLdeK1b1-MFvSS/view,b-a-programme_collection-2025_semvi_dsc_managerial-and-marketing-aspects-of-small-business_upc2412253601_qp7355_p105-106.pdf,UPC: 2412253601 | QP: 7355 | Type: DSC | Printed: B.A. (Prog.)
B.A. Programme,Creativity and Innovation,2025,Semester 7,7,https://drive.google.com/file/d/1DBzOqhsplLL7ieSG-gKmh7BqIx5QI2yl/view,b-a-programme_collection-2025_semvii_dse_creativity-and-innovation_upc2413250009_qp10621_p142-144.pdf,UPC: 2413250009 | QP: 10621 | Type: DSE | Printed: B.A. (UGCF)
B.Com. (Hons.),Financial Accounting,2026,Semester 1,1,https://drive.google.com/file/d/1P63F-HoiVnEXo5XxUiRFkECKkbpoh8bY/view,b-com-hons_collection-2026_semi_dsc_financial-accounting_upc2412081103_qp7369_p009-024.pdf,UPC: 2412081103 | QP: 7369 | Type: DSC | Printed: B.Com. (H) - DSC
