course,subject,yearrange,semestergroup,semester,fileurl,filename,note
B.A. (Hons.) Economics,Introductory Mathematical Methods for Economics,2026,Semester 1,1,https://drive.google.com/file/d/1u1FQPJ-yny_-IVUroxk5ow-QgBAnLOyX/view,2026_sem-1_dsc_upc-2272101102_qp-5181.pdf,UPC: 2272101102 | QP: 5181 | Type: DSC | Scheme: UGCF/NEP
B.A. (Hons.) Economics,Introductory Microeconomics,2026,Semester 1,1,https://drive.google.com/file/d/1U7DCygdLV5YI3HuRCCS-j-f0ru52cf07/view,2026_sem-1_dsc_upc-2272101101_qp-5069.pdf,UPC: 2272101101 | QP: 5069 | Type: DSC | Scheme: UGCF/NEP
B.A. (Hons.) Economics,Introductory Statistics for Economics,2026,Semester 1,1,https://drive.google.com/file/d/1e5w7DOU202QKf7nf_OVcH7Vl-UuZ-7KU/view,2026_sem-1_dsc_upc-2272101103_qp-4727_set-01.pdf,UPC: 2272101103 | QP: 4727 | Type: DSC | Scheme: UGCF/NEP
B.A. (Hons.) Economics,Introductory Statistics for Economics,2026,Semester 1,1,https://drive.google.com/file/d/1pUpe6W-JBoX8E1613trxX8akLltlKdwM/view,2026_sem-1_dsc_upc-2272101103_qp-5388_set-02.pdf,UPC: 2272101103 | QP: 5388 | Type: DSC | Scheme: UGCF/NEP
B.A. (Hons.) Economics,Intermediate Mathematical Methods for Economics,2024,Semester 2,2,https://drive.google.com/file/d/1jxalnP5ouuly1Ek-LwxdX5GZjWJfs37x/view,2024_sem-2_core_upc-12271202_qp-1608_set-01.pdf,UPC: 12271202 | QP: 1608 | Type: Core | Scheme: CBCS/legacy
B.A. (Hons.) Economics,Intermediate Mathematical Methods for Economics,2024,Semester 2,2,https://drive.google.com/file/d/1NtvmLIRi-9_Ec0XdaMP7PHyXVWjslQEY/view,2024_sem-2_dsc_upc-2272101202_qp-5190_set-02.pdf,UPC: 2272101202 | QP: 5190 | Type: DSC | Scheme: UGCF/NEP
B.A. (Hons.) Economics,Intermediate Mathematical Methods for Economics,2025,Semester 2,2,https://drive.google.com/file/d/112iUVp0PvNdU4IhMj6vTIyDoVSijZVbK/view,2025_sem-2_dsc_upc-2272101202_qp-6491.pdf,UPC: 2272101202 | QP: 6491 | Type: DSC | Scheme: UGCF/NEP
B.A. (Hons.) Economics,Intermediate Statistics for Economics,2024,Semester 2,2,https://drive.google.com/file/d/1tX50iLA3mlvnBLFz-OIjMaW1nzhCCV4d/view,2024_sem-2_dsc_upc-2272101203_qp-5239.pdf,UPC: 2272101203 | QP: 5239 | Type: DSC | Scheme: UGCF/NEP
B.A. (Hons.) Economics,Intermediate Statistics for Economics,2025,Semester 2,2,https://drive.google.com/file/d/1FOE3qvmxwHLM5SlMAwQNZ6WeAElpO75W/view,2025_sem-2_dsc_upc-2272101203_qp-6522.pdf,UPC: 2272101203 | QP: 6522 | Type: DSC | Scheme: UGCF/NEP
B.A. (Hons.) Economics,Introductory Macroeconomics,2024,Semester 2,2,https://drive.google.com/file/d/1aWhk5veBfr4GM6UsYEhzIztGM-_T9Nmb/view,2024_sem-2_dsc_upc-2272101201_qp-5137.pdf,UPC: 2272101201 | QP: 5137 | Type: DSC | Scheme: UGCF/NEP
B.A. (Hons.) Economics,Introductory Macroeconomics,2025,Semester 2,2,https://drive.google.com/file/d/1defMRzPVsQUNgzQrKdHRI0y3O-GIhHXf/view,2025_sem-2_dsc_upc-2272101201_qp-6458.pdf,UPC: 2272101201 | QP: 6458 | Type: DSC | Scheme: UGCF/NEP
B.A. (Hons.) Economics,Advanced Mathematical Methods for Economics,2026,Semester 3,3,https://drive.google.com/file/d/15Ry9QckBpeeOouaBtSSjtycabi264jyL/view,2026_sem-3_dsc_upc-2272102303_qp-5361.pdf,UPC: 2272102303 | QP: 5361 | Type: DSC | Scheme: UGCF/NEP
B.A. (Hons.) Economics,Economic History of India,2026,Semester 3,3,https://drive.google.com/file/d/1vIm2rGyv9ocXzs0grLxgGiPyXh9SnWqH/view,2026_sem-iii-v-vii_dse-1_upc-2273102001_qp-10593.pdf,UPC: 2273102001 | QP: 10593 | Type: DSE | Scheme: UGCF/NEP
B.A. (Hons.) Economics,Intermediate Microeconomics I,2026,Semester 3,3,https://drive.google.com/file/d/1-xQlbdNOn_qU0_Zu3Mjzt_-ahg85JZKw/view,2026_sem-3_dsc_upc-2272102301_qp-5037.pdf,UPC: 2272102301 | QP: 5037 | Type: DSC | Scheme: UGCF/NEP
B.A. (Hons.) Economics,Financial Economics,2025,Semester 4,4,https://drive.google.com/file/d/1T-wH8myVO62FKSD0iivknlDIBx3q3x3m/view,2025_sem-4_dse-16_upc-2273102005_qp-6367.pdf,UPC: 2273102005 | QP: 6367 | Type: DSE | Scheme: UGCF/NEP
B.A. (Hons.) Economics,Intermediate Macroeconomics II: Policy Issues,2024,Semester 4,4,https://drive.google.com/file/d/1IQH7llNgEo0oa_HipZFKzrGprTGX5pBP/view,2024_sem-4_core_upc-12271402_qp-1452_set-01.pdf,UPC: 12271402 | QP: 1452 | Type: Core | Scheme: CBCS/legacy
B.A. (Hons.) Economics,Intermediate Macroeconomics II: Policy Issues,2024,Semester 4,4,https://drive.google.com/file/d/17Rd3vH7Ph4XVtr0ZOxE4Ha3mfyIjjWgI/view,2024_sem-4_dsc_upc-2272102402_qp-5167_set-02.pdf,UPC: 2272102402 | QP: 5167 | Type: DSC | Scheme: UGCF/NEP
B.A. (Hons.) Economics,Intermediate Macroeconomics II: Policy Issues,2025,Semester 4,4,https://drive.google.com/file/d/1FsN1FQDHe-jZWCvoilteZcDDpxF906m2/view,2025_sem-4_dsc_upc-2272102402_qp-6068.pdf,UPC: 2272102402 | QP: 6068 | Type: DSC | Scheme: UGCF/NEP
B.A. (Hons.) Economics,Intermediate Microeconomics II,2024,Semester 4,4,https://drive.google.com/file/d/1oLs6I4M21j9z__X5m3IFHMBoywgin6OX/view,2024_sem-4_core_upc-12271401_qp-1383_set-01.pdf,UPC: 12271401 | QP: 1383 | Type: Core | Scheme: CBCS/legacy
B.A. (Hons.) Economics,Intermediate Microeconomics II,2024,Semester 4,4,https://drive.google.com/file/d/1Cr921Z_B1oFQQewenqc-ueutdSG_9f0m/view,2024_sem-4_dsc_upc-2272102401_qp-5107_set-02.pdf,UPC: 2272102401 | QP: 5107 | Type: DSC | Scheme: UGCF/NEP
B.A. (Hons.) Economics,Intermediate Microeconomics II,2025,Semester 4,4,https://drive.google.com/file/d/1IAehy7GwKsOK3VMxCq7S6NO-3z4HXlof/view,2025_sem-4_dsc_upc-2272102401_qp-6006.pdf,UPC: 2272102401 | QP: 6006 | Type: DSC | Scheme: UGCF/NEP
B.A. (Hons.) Economics,Introductory Econometrics,2024,Semester 4,4,https://drive.google.com/file/d/1-ueuTejq8KMQjsVkCc2fK7CNRzEBujsu/view,2024_sem-4_core_upc-12271403_qp-1758_set-02.pdf,UPC: 12271403 | QP: 1758 | Type: Core | Scheme: CBCS
B.A. (Hons.) Economics,Introductory Econometrics,2024,Semester 4,4,https://drive.google.com/file/d/1Bp9oBvRZEckYTkWEc6uRAwokBG2RLp9p/view,2024_sem-4_dsc-dscc-12_upc-2272102403_qp-5213_set-01.pdf,UPC: 2272102403 | QP: 5213 | Type: DSC (DSCC-12) | Scheme: UGCF/NEP 2022
B.A. (Hons.) Economics,Introductory Econometrics,2025,Semester 4,4,https://drive.google.com/file/d/1nHmabtKz-qoNUZN3Ye0lDSJJtwITxZiW/view,2025_sem-4_dsc_upc-2272102403_qp-6124.pdf,UPC: 2272102403 | QP: 6124 | Type: DSC | Scheme: UGCF/NEP
B.A. (Hons.) Economics,Economic Growth and Business Cycles,2026,Semester 5,5,https://drive.google.com/file/d/1D_1NVA7nF8vd-7WKwdPxHmIA-U9UoaMe/view,2026_sem-5_dsc_upc-2272103502_qp-5125.pdf,UPC: 2272103502 | QP: 5125 | Type: DSC | Scheme: UGCF/NEP
B.A. (Hons.) Economics,Environmental Economics,2026,Semester 5,5,https://drive.google.com/file/d/1NNVNeIIL3sY46_mMm0t95Ee8TirAGXWm/view,2026_sem-v-vii_dse-9_upc-2273100010_qp-8685_set-01.pdf,UPC: 2273100010 | QP: 8685 | Type: DSE | Scheme: UGCF/NEP
B.A. (Hons.) Economics,Environmental Economics,2026,Semester 5,5,https://drive.google.com/file/d/1U4wEajgW5CrtgdsnZ7of8TqvpzHBZhLw/view,2026_sem-v-vii_dse-9_upc-2273100010_qp-10584_set-02.pdf,UPC: 2273100010 | QP: 10584 | Type: DSE | Scheme: UGCF/NEP
B.A. (Hons.) Economics,Introductory Development Economics,2026,Semester 5,5,https://drive.google.com/file/d/1UNM3crNNllRm_65VwoY63UDzS79mGgKa/view,2026_sem-5_dsc_upc-2272103503_qp-5208.pdf,UPC: 2272103503 | QP: 5208 | Type: DSC | Scheme: UGCF/NEP
B.A. (Hons.) Economics,Public Economics,2026,Semester 5,5,https://drive.google.com/file/d/13CxGVy129fN1LRTk0Llq0YWAq44zj6hW/view,2026_sem-v-vii_dse-14_upc-2273100015_qp-5263.pdf,UPC: 2273100015 | QP: 5263 | Type: DSE | Scheme: UGCF/NEP
B.A. (Hons.) Economics,Comparative Economic Development (1850-1950),2024,Semester 6,6,https://drive.google.com/file/d/1662iIm6KzdNzaUxxyWOU4Qsa_JzZY_bU/view,2024_sem-6_dse_upc-12277602_qp-1498_set-01.pdf,UPC: 12277602 | QP: 1498 | Type: DSE | Scheme: CBCS
B.A. (Hons.) Economics,Comparative Economic Development (1850-1950),2024,Semester 6,6,https://drive.google.com/file/d/1qjQe3vtXXbILMiSG-8OyCPqzDjjGXVut/view,2024_sem-6_dse_upc-12277602_qp-1650_set-02.pdf,UPC: 12277602 | QP: 1650 | Type: DSE | Scheme: CBCS
B.A. (Hons.) Economics,Development Economics-II,2024,Semester 6,6,https://drive.google.com/file/d/1ga4wLYFAw7y_hx0FpG-i6RZdDMrENlwl/view,2024_sem-6_core_upc-12271602_qp-1409.pdf,UPC: 12271602 | QP: 1409 | Type: Core | Scheme: CBCS
B.A. (Hons.) Economics,Development Theory and Experience,2025,Semester 6,6,https://drive.google.com/file/d/1bWeLxenx70rYacMMIeETAOprB0iiI-Ms/view,2025_sem-6_dsc_upc-2272103602_qp-6096.pdf,UPC: 2272103602 | QP: 6096 | Type: DSC | Scheme: UGCF/NEP
B.A. (Hons.) Economics,Environmental Economics,2024,Semester 6,6,https://drive.google.com/file/d/1LF7Piq-pieMtqxUvggNewJ9ELCVQ342s/view,2024_sem-6_dse_upc-12277608_qp-1500_set-01.pdf,UPC: 12277608 | QP: 1500 | Type: DSE | Scheme: CBCS
B.A. (Hons.) Economics,Environmental Economics,2024,Semester 6,6,https://drive.google.com/file/d/10ZT8yqaOi82fiiKvdvZ1mdNI6WHQpOwC/view,2024_sem-6_dse_upc-12277608_qp-1652_set-02.pdf,UPC: 12277608 | QP: 1652 | Type: DSE | Scheme: CBCS
B.A. (Hons.) Economics,Indian Economy-II,2023,Semester 6,6,https://drive.google.com/file/d/1m-kRkHTcKoUPqzptT4b3MK3Di6RGl0r9/view,2023_sem-6_core-dsc_upc-12271601.pdf,UPC: 12271601 | Type: Core/DSC | Scheme: Mixed (CBCS/UGCF)
B.A. (Hons.) Economics,Indian Economy-II,2024,Semester 6,6,https://drive.google.com/file/d/17bNEGdN6f7F2TXxK2gWDxWdJzudgpJnR/view,2024_sem-6_core_upc-12271601_qp-1357.pdf,UPC: 12271601 | QP: 1357 | Type: Core | Scheme: CBCS/LOCF
B.A. (Hons.) Economics,Indian Growth and Development,2025,Semester 6,6,https://drive.google.com/file/d/19BwsIbzeywki7sbmmtRI-RBfZLUEsULb/view,2025_sem-6_dsc_upc-2272103603_qp-6151.pdf,UPC: 2272103603 | QP: 6151 | Type: DSC | Scheme: UGCF/NEP
