course,subject,yearrange,semestergroup,semester,fileurl,filename,note
B.A. (Hons.) Geography,Geomorphology,2023,Semester 2,2,https://drive.google.com/file/d/1YvCrjBJ2LKA7_6Jnv4nN3k4xDRtC2zJx/view,07_Geomorphology_DSC_BA_Hons_Pages_25-28.pdf,Type: DSC
B.A. (Hons.) Geography,Geomorphology,2024,Semester 2,2,https://drive.google.com/file/d/1QfoTldJTMnoVG60ECotBd1dCm159ogv7/view,10_Geomorphology_DSC_BA_Geography_Pages_37-40.pdf,Type: DSC
B.A. (Hons.) Geography,Geomorphology DSC,2024,Semester 2,2,https://drive.google.com/file/d/1why5Gapi_quIHkQ7gRzspwruwuPJNQBn/view,21_Geomorphology_DSC_NEP_UGCF_Pages_81-84.pdf,Type: NEP UGCF
B.A. (Hons.) Geography,Population Geography (Paper 2),2025,Semester 2,2,https://drive.google.com/file/d/1qKRmaWuK_JKZdmsRn-Pps9cTgMGRfpkx/view,03_Population_Geography_BA_Hons_Paper_2_Pages_9-12.pdf,Google Drive Archive
B.A. (Hons.) Geography,Population Geography (Paper 3),2025,Semester 2,2,https://drive.google.com/file/d/1mZ_gjDok6VPfmx6Hxcfmirokal5RF5Aj/view,04_Population_Geography_BA_Hons_Paper_3_Pages_13-16.pdf,Google Drive Archive
B.A. (Hons.) Geography,Economic Geography,2025,Semester 4,4,https://drive.google.com/file/d/1TZrQwE6OBtbNzeOpZq3fbCfF_pYt96S8/view,06_Economic_Geography_BA_Hons_Pages_21-24.pdf,Google Drive Archive
B.A. (Hons.) Geography,Economic Geography (Paper 1),2024,Semester 4,4,https://drive.google.com/file/d/1Ynvvpvda1Ma9NEHF_Pg-j4d2snl0_-Rn/view,03_Economic_Geography_BA_Hons_Paper_1_Pages_9-12.pdf,Google Drive Archive
B.A. (Hons.) Geography,Economic Geography (Paper 1),2024,Semester 4,4,https://drive.google.com/file/d/1UJJKRzu1ssoqGAvnwOlloTcOIrC7fEtg/view,22_Economic_Geography_DSC_Paper_1_Pages_85-88.pdf,Type: DSC
B.A. (Hons.) Geography,Economic Geography (Paper 2),2024,Semester 4,4,https://drive.google.com/file/d/1nQxzLcl2Rncp2YXokkQUQBeOVxnNCr1D/view,06_Economic_Geography_BA_Hons_Paper_2_Pages_21-24.pdf,Google Drive Archive
B.A. (Hons.) Geography,Economic Geography (Paper 2),2024,Semester 4,4,https://drive.google.com/file/d/1TIittvMpgXtT66pqVhvL4e4_FKgbGOEi/view,23_Economic_Geography_DSC_Paper_2_Pages_89-92.pdf,Type: DSC
B.A. (Hons.) Geography,Environmental Geography,2023,Semester 4,4,https://drive.google.com/file/d/1Bx5M2Wdcl1ZTPfu1rUa7FrnZaPaDLGCO/view,03_Environmental_Geography_Core_BA_Hons_Pages_9-12.pdf,Type: CORE
B.A. (Hons.) Geography,Environmental Geography,2024,Semester 4,4,https://drive.google.com/file/d/19d_F8AmHOrjFNLgGG5uTrRqI-FyL2U37/view,04_Environmental_Geography_Core_BA_Hons_Pages_13-16.pdf,Type: CORE
B.A. (Hons.) Geography,Geography of Himalayas,2025,Semester 4,4,https://drive.google.com/file/d/1rs55iItwKhIgkqPc1d7EVzyrOZ2WERw0/view,07_Geography_of_Himalayas_DSE_Pages_25-28.pdf,Type: DSE
B.A. (Hons.) Geography,Geomorphology,2025,Semester 4,4,https://drive.google.com/file/d/1EGqA5SrZ24J_57rnvKQ2eKR2fiHqTKJR/view,01_Geomorphology_BA_Hons_Pages_1-4.pdf,Google Drive Archive
B.A. (Hons.) Geography,Oceanography,2024,Semester 4,4,https://drive.google.com/file/d/1U5s2KDC-G9C0h5u3XmIo4clfxU9mERQO/view,05_Oceanography_BA_Hons_Pages_17-20.pdf,Google Drive Archive
B.A. (Hons.) Geography,Oceanography,2024,Semester 4,4,https://drive.google.com/file/d/1JEj7PLXgHNJczSG0t0hWNx_qTZ7TA21d/view,24_Oceanography_DSC_Pages_93-96.pdf,Type: DSC
B.A. (Hons.) Geography,Oceanography,2025,Semester 4,4,https://drive.google.com/file/d/1D38ItM12-Isx0iVnYmx4EWu266dGpupr/view,05_Oceanography_DSC_BA_Hons_Pages_17-20.pdf,Type: DSC
B.A. (Hons.) Geography,Population Geography,2023,Semester 4,4,https://drive.google.com/file/d/1EpSSZiiS2Jv1p1WJD0CMW3m2hjcKWi5B/view,01_Population_Geography_BA_Hons_Pages_1-4.pdf,Google Drive Archive
B.A. (Hons.) Geography,Population Geography or Programme,2024,Semester 4,4,https://drive.google.com/file/d/1yT7ZWDk8dEyUUIP-QjYLOJxn-v7pMR21/view,01_Population_Geography_BA_Hons_or_Programme_Pages_1-4.pdf,Google Drive Archive
B.A. (Hons.) Geography,Biogeography and Biodiversity,2023,Semester 6,6,https://drive.google.com/file/d/1nRycF6VrWK0GdWnEndJMUFpnOUbCb-5S/view,06_Biogeography_and_Biodiversity_BA_Hons_Pages_21-24.pdf,Google Drive Archive
B.A. (Hons.) Geography,Biogeography and Biodiversity,2024,Semester 6,6,https://drive.google.com/file/d/1XOfqoMVbtxNMtG_yDJlHQrGpsXazEVv7/view,09_Biogeography_and_Biodiversity_Pages_33-36.pdf,Google Drive Archive
