model,naturalKey,sourceFile,sourceRowRef,status,reason
SessionProgramLink,2025-26 (Dec-Jan) Question Papers::ba-programme::,src/data/exam-sessions-source.ts,session=2025-26 (Dec-Jan) Question Papers row=0,unresolved_fk,missing parent: Program(slug=ba-programme)
SessionProgramLink,2025-26 (Dec-Jan) Question Papers::bsc-prog-life-sciencesphy-sc::,src/data/exam-sessions-source.ts,session=2025-26 (Dec-Jan) Question Papers row=10,unresolved_fk,missing parent: Program(slug=bsc-prog-life-sciencesphy-sc)
SessionProgramLink,2025-26 (Dec-Jan) Question Papers::bscprog-physical-sciencelife-science::,src/data/exam-sessions-source.ts,session=2025-26 (Dec-Jan) Question Papers row=11,unresolved_fk,missing parent: Program(slug=bscprog-physical-sciencelife-science)
SessionProgramLink,2025-26 (Dec-Jan) Question Papers::question-papers-mix-research-methodology::,src/data/exam-sessions-source.ts,session=2025-26 (Dec-Jan) Question Papers row=17,unresolved_fk,missing parent: Program(slug=question-papers-mix-research-methodology)
SessionProgramLink,2025-26 (Dec-Jan) Question Papers::all-common-prog-group-aec::,src/data/exam-sessions-source.ts,session=2025-26 (Dec-Jan) Question Papers row=21,unresolved_fk,missing parent: Program(slug=all-common-prog-group-aec)
SessionProgramLink,2025-26 (Dec-Jan) Question Papers::babsc-prog::,src/data/exam-sessions-source.ts,session=2025-26 (Dec-Jan) Question Papers row=22,unresolved_fk,missing parent: Program(slug=babsc-prog)
SessionProgramLink,2025 (May-June-July) Question Papers::ba-programme::,src/data/exam-sessions-source.ts,session=2025 (May-June-July) Question Papers row=0,unresolved_fk,missing parent: Program(slug=ba-programme)
SessionProgramLink,2025 (May-June-July) Question Papers::bsc-life-sciencesphy-sc::,src/data/exam-sessions-source.ts,session=2025 (May-June-July) Question Papers row=10,unresolved_fk,missing parent: Program(slug=bsc-life-sciencesphy-sc)
SessionProgramLink,2025 (May-June-July) Question Papers::bscprog-physical-scienceba::,src/data/exam-sessions-source.ts,session=2025 (May-June-July) Question Papers row=11,unresolved_fk,missing parent: Program(slug=bscprog-physical-scienceba)
SessionProgramLink,2025 (May-June-July) Question Papers::question-papers-mixall-dates-folder::,src/data/exam-sessions-source.ts,session=2025 (May-June-July) Question Papers row=17,unresolved_fk,missing parent: Program(slug=question-papers-mixall-dates-folder)
SessionProgramLink,2025 (May-June-July) Question Papers::all-common-prog-group::,src/data/exam-sessions-source.ts,session=2025 (May-June-July) Question Papers row=22,unresolved_fk,missing parent: Program(slug=all-common-prog-group)
SessionProgramLink,2024-25 (Dec-Jan-Feb) Question Papers::ba-programme::,src/data/exam-sessions-source.ts,session=2024-25 (Dec-Jan-Feb) Question Papers row=0,unresolved_fk,missing parent: Program(slug=ba-programme)
