model,sourceFile,sourceRowRef,field,message
Subject,src/lib/content/master-syllabus-data.ts,id=86,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 1 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=86,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 3 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=86,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 5 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=86,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 7 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=87,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 1 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=87,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 3 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=87,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 5 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=87,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 7 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=88,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 1 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=88,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 3 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=88,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 5 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=88,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 7 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=89,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 1 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=89,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 3 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=89,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 5 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=89,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 7 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=90,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 1 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=90,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 3 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=90,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 5 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=90,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 7 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=91,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 1 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=91,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 3 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=91,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 5 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=91,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 7 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=95,semester,"Multi-semester source row ""II/IV/VI"" expanded into Semester 2 (and 2 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=95,semester,"Multi-semester source row ""II/IV/VI"" expanded into Semester 4 (and 2 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=95,semester,"Multi-semester source row ""II/IV/VI"" expanded into Semester 6 (and 2 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=96,semester,"Multi-semester source row ""II/IV/VI"" expanded into Semester 2 (and 2 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=96,semester,"Multi-semester source row ""II/IV/VI"" expanded into Semester 4 (and 2 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=96,semester,"Multi-semester source row ""II/IV/VI"" expanded into Semester 6 (and 2 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=97,semester,"Multi-semester source row ""II/IV/VI"" expanded into Semester 2 (and 2 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=97,semester,"Multi-semester source row ""II/IV/VI"" expanded into Semester 4 (and 2 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=97,semester,"Multi-semester source row ""II/IV/VI"" expanded into Semester 6 (and 2 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=98,semester,"Multi-semester source row ""II/IV/VI"" expanded into Semester 2 (and 2 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=98,semester,"Multi-semester source row ""II/IV/VI"" expanded into Semester 4 (and 2 other term(s)) — same subject created once per semester"
