canonicalKey,variants,variantCount
research track dissertation academic project translation,Research Track (Dissertation/Academic Project/ Translation) | Research Track (Dissertation/Academic Project/Translation),2
literature and human rights,Literature & Human Rights | Literature and Human Rights,2
16th and 17th century english drama,16th & 17th Century English Drama | 16th and 17th Century English Drama,2
literary criticism,LITERARY CRITICISM | Literary Criticism,2
twentieth century poetry and drama,Twentieth Century Poetry & Drama | Twentieth Century Poetry and Drama,2
research methodology,RESEARCH METHODOLOGY | Research Methodology | Research methodology,3
basic concepts of cell biology,Basic Concepts of Cell Biology | Basic Concepts of Cell biology,2
biostatistics,BIOSTATISTICS | Biostatistics,2
natural resource management,NATURAL RESOURCE MANAGEMENT | Natural Resource Management,2
environmental biotechnology and management,Environmental Biotechnology & Management | Environmental Biotechnology and Management,2
business organisation and management,Business Organisation and Management | Business organisation and management,2
financial markets and institutions,Financial Markets & Institutions | Financial Markets and Institutions,2
security analysis and portfolio management,Security Analysis & Portfolio Management | Security Analysis and Portfolio Management,2
basic statistics,BASIC STATISTICS | Basic Statistics,2
design and analysis of algorithms,Design & Analysis of Algorithms | Design and Analysis of Algorithms,2
natural language processing,Natural Language Processing | Natural language Processing,2
optimization techniques,OPTIMIZATION TECHNIQUES | Optimization Techniques,2
introduction to web programming,Introduction To Web Programming | Introduction to Web Programming,2
information security and cyber laws,Information Security And Cyber Laws | Information Security and Cyber Laws,2
engaging with literary texts 1,Engaging With Literary Texts (1) | Engaging with Literary Texts (1),2
engaging with literary texts 2,Engaging With Literary Texts (2) | Engaging with Literary Texts (2),2
introduction to translation,Introduction to Translation | Introduction to Translation.,2
life writing,Life Writing | Life writing | Life writing.,3
introduction to foreign language teaching,Introduction to Foreign Language Teaching | Introduction to Foreign Language Teaching.,2
study of a genre shorter narrative forms,Study of a Genre – Shorter Narrative Forms | Study of a Genre- Shorter Narrative Forms,2
intermediate microeconomics i behavioural foundations of market interactions,Intermediate Microeconomics I: Behavioural Foundations of Market Interactions | Intermediate Microeconomics I: Behavioural foundations of Market Interactions,2
gender and development,GENDER AND DEVELOPMENT | Gender And Development | Gender and Development,3
punjab di lokdhara,Punjab Di Lokdhara | Punjab di Lokdhara,2
income tax law and practice,Income Tax Law & Practice | Income Tax Law and Practice,2
medical ethics from principles to practice,Medical Ethics -From Principles to Practice | Medical Ethics – From Principles to Practice,2
print media in urdu,PRINT MEDIA IN URDU | PRINT Media IN URDU,2
textual criticism in urdu,TEXTUAL CRITICISM IN URDU | Textual Criticism in Urdu,2
biogeography,BIOGEOGRAPHY | Biogeography,2
geography of arid and semiarid region,GEOGRAPHY OF ARID AND SEMIARID REGION | Geography of Arid And Semiarid Region,2
geography of himalayas,GEOGRAPHY OF HIMALAYAS | Geography of Himalayas,2
rural development,RURAL DEVELOPMENT | Rural Development,2
agricultural geography and food security,Agricultural Geography And Food Security | Agricultural Geography and Food Security,2
environment and ecology,Environment And Ecology | Environment and Ecology,2
political geography,POLITICAL GEOGRAPHY | Political Geography,2
social geography,SOCIAL GEOGRAPHY | Social Geography,2
geographies of crime,GEOGRAPHIES OF CRIME | Geographies of Crime,2
introduction to research methods in geography,INTRODUCTION TO RESEARCH METHODS IN GEOGRAPHY | Introduction To Research Methods In Geography,2
geographical dimensions of land use planning and policy,Geographical Dimensions of Land Use Planning And Policy | Geographical Dimensions of Land Use Planning and Policy,2
geographies of environmental justice and environmental ethics,Geographies of Environmental Justice And Environmental Ethics | Geographies of Environmental Justice and Environmental Ethics,2
geography of behaviour and emotions,Geography of Behaviour And Emotions | Geography of Behaviour and Emotions,2
geography of mobility and migration,Geography of Mobility And Migration | Geography of Mobility and Migration,2
sampling distributions,SAMPLING DISTRIBUTIONS | Sampling Distributions,2
actuarial statistics,ACTUARIAL STATISTICS | Actuarial Statistics,2
environmental statistics,ENVIRONMENTAL STATISTICS | Environmental Statistics,2
