course,subject,yearrange,semestergroup,semester,fileurl,filename,note
B. Voc – Banking Operations,Computers Applications in Business,2023-2024,"II,IV,VI",4,https://drive.google.com/file/d/1ozpsMc4xcxfbR1XdBf0JHuWg3dztl7tU/view,Computers_Applications_in_Business__Sem-IV__UPC-22411403_OC__QP-NA.pdf,UPC: 22411403_OC | Scheme: Old Course (OC)
B.A. (Hons.) Social Work,Human Resource Management,2023-2024,"II,IV,VI",2,https://drive.google.com/file/d/1suU4cAh44pfUpTbGubl47MWLg3G5gMJp/view,Human_Resource_Management__Sem-II__UPC-2412091203__QP-3846.pdf,UPC: 2412091203 | QP: 3846 | Type: DSC/Core
B.A. (V.S.) Insurance Management,Fundamentals of Investment,2023-2024,"II,IV,VI",6,https://drive.google.com/file/d/1GONgTM6H1mRGrFzNdj9bFQlu1EJI_2Au/view,Fundamentals_of_Investment__Sem-VI__UPC-22417601__QP-NA.pdf,UPC: 22417601
B.A. (V.S.) Modern Office Management,Business Laws,2023-2024,"II,IV,VI",2,https://drive.google.com/file/d/1PjoUJo9QJfsLUNlPTvA7U4fNn1DMaTwE/view,Business_Laws__Sem-II__UPC-52411201__QP-4370.pdf,UPC: 52411201 | QP: 4370
B.A. (V.S.) Modern Office Management,Company Law,2023-2024,"II,IV,VI",2,https://drive.google.com/file/d/1epmQIx-LIDyk8Ryxg2nwaIh2N9JHXxj-/view,Company_Law__Sem-II__UPC-2412091202__QP-3844.pdf,UPC: 2412091202 | QP: 3844 | Type: DSC/Core
B.A. (V.S.) Small And Medium Enterprise,Corporate Laws,2023-2024,"II,IV,VI",2,https://drive.google.com/file/d/1tlQxkQLgSK2J02TjGyvXOR5y3gyMymQ5/view,Corporate_Laws__Sem-II__UPC-22411202_OC__QP-NA.pdf,UPC: 22411202_OC | Scheme: Old Course (OC)
B.A. Programme,Fundamentals of Business Organisation for Entrepreneurs,2023-2024,"II,IV,VI",2,https://drive.google.com/file/d/1ZwUbQcdB8rNc_hTz4TGAXnkvHmBdqqEK/view,Fundamentals_of_Business_Organisation_for_Entrepreneurs__Sem-II__UPC-2412251101__QP-6520.pdf,UPC: 2412251101 | QP: 6520
B.A. Programme,Fundamentals of Entrepreneurship,2024-2025,"II,IV,VI",2,https://drive.google.com/file/d/1LWmnmS0I8fS8w3doYxlaRCHc77jGhjh1/view,Fundamentals_of_Entrepreneurship__Sem-II__UPC-2412251201__QP-7669.pdf,UPC: 2412251201 | QP: 7669
B.A. Programme,Fundamentals of Entrepreneurship,2024-2025,"II,IV,VI",2,https://drive.google.com/file/d/1jheJIDlfOuuL62GToGNPcapS3pY-K0bq/view,Fundamentals_of_Entrepreneurship__Sem-II__UPC-2412251201__QP-7711.pdf,UPC: 2412251201 | QP: 7711
B.A. Programme,Business Laws,2023-2024,"I,III,V",3,https://drive.google.com/file/d/1KS5qjm5eZ8q1V_KXu-ZzxcMF79oEPMex/view,Business_Laws__Sem-III__UPC-2412202302__QP-6715.pdf,UPC: 2412202302 | QP: 6715
B.A. Programme,Launching A New Venture,2024-2025,"II,IV,VI",4,https://drive.google.com/file/d/1FJf8EBa92go1YhqTlwanYyM6xkEt5mAk/view,Launching_A_New_Venture__Sem-IV__UPC-2412252401__QP-7314.pdf,UPC: 2412252401 | QP: 7314
B.A. Programme,Launching A New Venture,2024-2025,"II,IV,VI",4,https://drive.google.com/file/d/1jDB3yOFw2-WXBSUl0EOYX9Ew39jFigjH/view,Launching_A_New_Venture__Sem-IV__UPC-2412252401__QP-7429.pdf,UPC: 2412252401 | QP: 7429
B.A. Programme,Principles of Management,2024-2025,"II,IV,VI",4,https://drive.google.com/file/d/1lpm0b3s3wNnbj0yEnkhEg2xo-12RgzFQ/view,Principles_of_Management__Sem-IV__UPC-2412202402__QP-8100.pdf,UPC: 2412202402 | QP: 8100
B.A. Programme,Practical Aspects of Entrepreneurship,2023-2024,"I,III,V",5,https://drive.google.com/file/d/1UMG1rIReT9561W3NlpFYyDotSgxPZOaE/view,Practical_Aspects_of_Entrepreneurship__Sem-V__UPC-2412253501__QP-6263.pdf,UPC: 2412253501 | QP: 6263
B.A. Programme,Practical Aspects of Entrepreneurship,2023-2024,"I,III,V",5,https://drive.google.com/file/d/1Uceth9H56kMXgC6aM37CJ-Ns__YMGF2z/view,Practical_Aspects_of_Entrepreneurship__Sem-V__UPC-2412253501__QP-6429.pdf,UPC: 2412253501 | QP: 6429
B.A. Programme,Company Law,2024-2025,"II,IV,VI",6,https://drive.google.com/file/d/1x95qUfEBKEhw03oWSK2zmt36w7fe51rQ/view,Company_Law__Sem-VI__UPC-2412253602__QP-7465.pdf,UPC: 2412253602 | QP: 7465
B.A. Programme,Feasibility Study and Business Plan,2024-2025,"II,IV,VI",6,https://drive.google.com/file/d/1r6SinXUdIzUMpRnkLWveXhPaz4wjDRLi/view,Feasibility_Study_and_Business_Plan__Sem-VI__UPC-2413250004__QP-7567.pdf,UPC: 2413250004 | QP: 7567
B.A. Programme,Managerial and Marketing Aspects of Small Business,2024-2025,"II,IV,VI",6,https://drive.google.com/file/d/1JUyfwYrBW_zAf7LEMo2SsHQC6zHa5yAN/view,Managerial_and_Marketing_Aspects_of_Small_Business__Sem-VI__UPC-2412253601__QP-7355.pdf,UPC: 2412253601 | QP: 7355
B.A. Programme,Creativity and Innovation,2023-2024,"I,III,V,VII",7,https://drive.google.com/file/d/1YXOplFunToRvaHJNHZALVPS-Xsef0PX_/view,Creativity_and_Innovation__Sem-VII__UPC-2413250009__QP-10621.pdf,UPC: 2413250009 | QP: 10621
B.Com. (Hons.),Business Mathematics and Statistics,2023-2024,"II,IV,VI",2,https://drive.google.com/file/d/1tpbIVQSNfq2xA3NXDnGUPvh-qSGFi1ry/view,Business_Mathematics_and_Statistics__Sem-II__UPC-52411202__QP-4377.pdf,UPC: 52411202 | QP: 4377
B.Com. (Hons.),Family Business Management,2023-2024,"II,IV,VI",2,https://drive.google.com/file/d/1XrY7C-pUgR7n_DGEO0Vxv4VfVJ4ZoXfg/view,Family_Business_Management__Sem-II__UPC-2924001205__QP-6066.pdf,UPC: 2924001205 | QP: 6066
B.Com. (Hons.),Financial Accounting,2023-2024,"II,IV,VI",2,https://drive.google.com/file/d/1eifZWrfuYoYweUHoQYcppSk_m-_OS4h2/view,Financial_Accounting__Sem-II__UPC-2412201202__QP-1458.pdf,UPC: 2412201202 | QP: 1458
B.Com. (Hons.),Hindi - A,2023-2024,"II,IV,VI",2,https://drive.google.com/file/d/1aVVpS8DgU-tzI4RgC7eBxa6cLx1lQRsF/view,Hindi_-_A__Sem-II__UPC-52051221__QP-4404.pdf,UPC: 52051221 | QP: 4404
B.Com. (Hons.),Business Mathematics,2023-2024,"II,IV,VI",4,https://drive.google.com/file/d/137sq4sH_wWWELLJRzCDzBYyf9eJmCPr1/view,Business_Mathematics__Sem-IV__UPC-22411402_OC__QP-NA.pdf,UPC: 22411402_OC | Scheme: Old Course (OC)
B.Com. (Hons.),E-Commerce,2023-2024,"II,IV,VI",4,https://drive.google.com/file/d/1gvxzEKKuhNGuSwLNN83EkDMoChpgl-4I/view,E-Commerce__Sem-IV__UPC-62413424__QP-1914.pdf,UPC: 62413424 | QP: 1914
B.Com. (Hons.),"Advertising, Personal Selling and Salesmanship",2023-2024,"II,IV,VI",6,https://drive.google.com/file/d/1yaRgCyTa9GF1kPmQiYdHgduEygD5tkDd/view,Advertising_Personal_Selling_and_Salesmanship__Sem-VI__UPC-52413613__QP-555.pdf,UPC: 52413613 | QP: 555
B.Com. (Hons.),Auditing and Corporate Governance,2023-2024,"II,IV,VI",6,https://drive.google.com/file/d/1Ky_5SvOX1N7t5dnf-8EjjNm33Or-J0_i/view,Auditing_and_Corporate_Governance__Sem-VI__UPC-22411601__QP-NA.pdf,UPC: 22411601
B.Com. (Hons.),Business Management,2023-2024,"II,IV,VI",6,https://drive.google.com/file/d/1_EEPArhr_85UlZWBgpd56YozMiE_QkTF/view,Business_Management__Sem-VI__UPC-62415602__QP-2003.pdf,UPC: 62415602 | QP: 2003
B.Com. (Hons.),Goods and Service Tax and Customs Law,2023-2024,"II,IV,VI",6,https://drive.google.com/file/d/1ZlpxVbJfZos9zpmCepaBJu7RX_v37my1/view,Goods_and_Service_Tax_and_Customs_Law__Sem-VI__UPC-22411602__QP-NA.pdf,UPC: 22411602
B.Com. (Hons.),Personal Selling and Salesmanship,2023-2024,"II,IV,VI",6,https://drive.google.com/file/d/12p8PLNg9qLTUj6CzV_wmPbOjuEIwNJHP/view,Personal_Selling_and_Salesmanship__Sem-VI__UPC-62413635__QP-1820.pdf,UPC: 62413635 | QP: 1820
B.Com. / B.A. (Common),Finance for Everyone,2023-2024,"I,III,V",1,https://drive.google.com/file/d/1Fr5pX9sGiArFNgBv1CroDwJ-i1z-pLBB/view,Finance_for_Everyone__Sem-I_III_V__UPC-2416000002__QP-11788.pdf,UPC: 2416000002 | QP: 11788
B.Com. / B.A. (Common),Finance for Everyone,2024-2025,"II,IV,VI",2,https://drive.google.com/file/d/1yoEVMbZpZvboT-61DXBa2Eym8UGzR85O/view,Finance_for_Everyone__Sem-II_IV_VI__UPC-2416000002__QP-3913.pdf,UPC: 2416000002 | QP: 3913
B.Com. / B.A. (Common),Finance for Everyone,2024-2025,"II,IV,VI",2,https://drive.google.com/file/d/1bjE_tBgWdckt4YP5hDPLXI9K2gtXHb9V/view,Finance_for_Everyone__Sem-II_IV_VI__UPC-2416000002__QP-3949.pdf,UPC: 2416000002 | QP: 3949
B.Com. / B.A. (Common),Finance for Everyone,2024-2025,"II,IV,VI",2,https://drive.google.com/file/d/1qN6vNhWfMKMGE5UHRwSNqdRn9BqsMO_2/view,Finance_for_Everyone__Sem-II_IV_VI__UPC-2416000002__QP-8106.pdf,UPC: 2416000002 | QP: 8106
B.Com. / B.A. (Common),Finance for Everyone,2024-2025,"II,IV,VI",2,https://drive.google.com/file/d/1ps9BHDSUgzUK1chte5uKeJtX-h1dMZel/view,Finance_for_Everyone__Sem-II_IV_VI__UPC-2416000002__QP-8107.pdf,UPC: 2416000002 | QP: 8107
B.Com. / B.A. (Common),Investing in Stock Markets,2023-2024,"II,IV,VI",2,https://drive.google.com/file/d/1uDZwPEk3ezUgx6QLxdavR-Lm5nQdo_au/view,Investing_in_Stock_Markets__Sem-II__UPC-22415202_OC__QP-NA.pdf,UPC: 22415202_OC | Scheme: Old Course (OC)
B.Com. / B.A. (Common),Personal Financial Planning,2024-2025,"II,IV,VI",2,https://drive.google.com/file/d/1lRdjSNC11VLcZKPPPNASCSO4j7LqMYZc/view,Personal_Financial_Planning__Sem-II_IV_VI__UPC-2416000004__QP-3852.pdf,UPC: 2416000004 | QP: 3852 | Type: SEC
B.Com. / B.A. (Common),Personal Financial Planning,2024-2025,"II,IV,VI",2,https://drive.google.com/file/d/1wDnA51CmlPbHoLyh7OzrfSvP96yjitD6/view,Personal_Financial_Planning__Sem-II_IV_VI__UPC-2416000004__QP-3888.pdf,UPC: 2416000004 | QP: 3888 | Type: SEC
B.Com. / B.A. (Common),Personal Financial Planning,2024-2025,"II,IV,VI",2,https://drive.google.com/file/d/1Rzf5JMAP4_5mNxise2TouqQRckYEMihk/view,Personal_Financial_Planning__Sem-II_IV_VI__UPC-2416000004__QP-3960.pdf,UPC: 2416000004 | QP: 3960 | Type: SEC
